delay,gain
8.66965,0.000410305
6.296,0.000768955
6.68787,0.000683395
6.12805,0.000810573
6.15032,0.000804863
6.08837,0.000820893
6.75577,0.000670019
6.03108,0.000836145
6.80411,0.000660733
7.06376,0.000613989
7.33305,0.000570531
7.49972,0.000545891
8.42898,0.00043374
6.72136,0.000676748
8.3166,0.000445374
7.91007,0.000491591
8.21878,0.000455882
7.19224,0.00059266
8.48168,0.000428441
10.0704,0.000305134
8.50649,0.00042598
7.29995,0.000575621
6.34134,0.000758263
6.78693,0.000664013
6.67138,0.000686703
8.6714,0.000410142
8.7102,0.000406544
8.38699,0.000438033
6.15886,0.000802691
8.58969,0.000208938
9.10182,0.00018636
10.1,0.000151683
7.71983,0.000257856
9.14935,0.000184452
8.87322,0.000195964
7.71044,0.000258474
8.96447,0.000192044
9.29027,0.000178962
8.79028,0.000199632
8.54805,0.000210951
9.25777,0.000180206
8.54425,0.000211137
9.20257,0.000182349
9.23882,0.000180937
10.0191,0.000154119
9.07916,0.00018728
7.64069,0.000263135
7.674,0.000260894
7.65922,0.000261885
8.59667,0.000208604
9.85145,0.000159356
8.93983,0.000193091
10.3225,0.000145275
7.54655,0.000269627
7.54287,0.000269886
8.25535,0.000225955
7.97459,0.000241895
7.59315,0.000266384
7.47828,0.000274486
7.66288,0.000261639
7.71638,0.000258083
8.8358,0.000197606
6.99416,0.000313012
8.79068,0.000199614
9.6824,0.00016491
7.75981,0.000255249
8.69538,0.000203956
7.78651,0.00025353
8.62431,0.000207286
8.54993,0.00021086
9.05721,0.000188178
8.28854,0.000224176
8.55366,0.000210679
8.24669,0.000226423
10.0675,0.000152655
7.55756,0.000268856
10.3485,0.000144554
7.82202,0.00025127
8.74616,0.000201625
7.92942,0.000244616
8.91901,0.000193982
7.71157,0.0002584
10.3578,0.000144296
12.1031,0.000105944
10.5156,0.000140037
8.67527,0.00020489
7.69104,0.000259758
8.71708,0.000202955
7.66114,0.000261756
10.8779,0.00013094
10.3927,0.000143339
10.4864,0.000140809
8.16449,0.000230938
11.1091,6.27954e-05
10.0342,7.68298e-05
10.2062,7.42875e-05
9.22656,9.07064e-05
9.48569,8.5872e-05
9.79577,8.05769e-05
10.0476,7.66281e-05
10.3659,7.20364e-05
11.196,6.18321e-05
11.5809,5.78203e-05
10.5423,6.96679e-05
9.31206,8.90674e-05
11.1111,6.27731e-05
9.4596,8.63412e-05
9.69435,8.22538e-05
11.1763,6.20485e-05
11.2211,6.15579e-05
9.5015,8.55897e-05
10.0091,7.72122e-05
9.3594,8.81788e-05
11.158,6.22507e-05
10.4858,7.04139e-05
11.1709,6.21084e-05
12.205,5.20967e-05
10.2098,7.42348e-05
9.37252,8.79348e-05
9.10013,9.32142e-05
8.90302,9.73353e-05
9.59738,8.39064e-05
8.30578,0.00011163
9.34365,8.8473e-05
9.70474,8.20796e-05
9.36187,8.81328e-05
9.3658,8.80597e-05
9.32181,8.88832e-05
10.6169,6.86998e-05
9.16366,9.19414e-05
10.9451,6.46753e-05
9.22692,9.06996e-05
8.78848,9.98563e-05
9.13451,9.2522e-05
9.41401,8.71702e-05
9.25873,9.00846e-05
10.6714,6.80067e-05
9.18484,9.15227e-05
10.2218,7.40619e-05
9.35643,8.82342e-05
12.3838,5.06124e-05
9.24595,9.03308e-05
11.1855,6.19473e-05
9.32617,8.88011e-05
9.36798,8.80192e-05
9.1959,9.13054e-05
12.3085,5.12297e-05
14.1409,3.88752e-05
12.6573,4.84628e-05
10.7622,6.68742e-05
10.4424,7.09938e-05
10.8722,6.5538e-05
9.83182,7.9993e-05
11.124,6.2629e-05
12.2853,5.14224e-05
12.7708,4.76101e-05
9.22825,9.06737e-05
11.8542,2.76019e-05
12.5802,2.45272e-05
12.3894,2.52837e-05
10.2596,3.67618e-05
10.9794,3.21378e-05
11.0069,3.19786e-05
10.2338,3.69453e-05
11.5511,2.90584e-05
11.2467,3.064e-05
11.6801,2.84249e-05
11.4465,2.95877e-05
10.9759,3.21579e-05
11.428,2.9683e-05
10.9975,3.20329e-05
11.3841,2.99104e-05
11.3503,3.00877e-05
11.6756,2.84463e-05
10.2172,3.70642e-05
10.7653,3.34179e-05
10.2573,3.67777e-05
11.5253,2.91874e-05
11.9256,2.72747e-05
12.1842,2.61365e-05
14.1513,1.94091e-05
10.5601,3.47176e-05
11.5633,2.89975e-05
10.5032,3.50913e-05
10.4558,3.54072e-05
10.2664,3.6713e-05
10.8521,3.28899e-05
10.2621,3.67438e-05
10.2097,3.71182e-05
9.38635,4.38394e-05
9.86218,3.97532e-05
11.4257,2.96947e-05
12.4501,2.50391e-05
10.2685,3.66985e-05
11.2115,3.08313e-05
10.7275,3.36515e-05
9.5543,4.23283e-05
9.54078,4.2447e-05
11.1084,3.14018e-05
9.98843,3.87645e-05
12.4859,2.48968e-05
11.2335,3.07115e-05
12.3636,2.53885e-05
11.1781,3.10145e-05
14.5349,1.84028e-05
10.2554,3.67912e-05
11.4322,2.96612e-05
10.319,3.63435e-05
10.8948,3.26346e-05
11.8565,2.75911e-05
14.348,1.88831e-05
16.1834,1.48582e-05
12.6625,2.42115e-05
11.9486,2.71704e-05
10.4441,3.54856e-05
11.0712,3.16113e-05
10.6356,3.42303e-05
11.4659,2.94884e-05
14.2327,1.91888e-05
14.431,1.86675e-05
9.78097,4.04092e-05
12.9479,1.1581e-05
12.8146,1.18217e-05
13.5552,1.05721e-05
12.7665,1.19105e-05
13.0874,1.13369e-05
13.1213,1.12788e-05
12.4392,1.25414e-05
11.6779,1.42176e-05
13.4394,1.07541e-05
11.7501,1.40447e-05
13.2028,1.11408e-05
13.3204,1.09459e-05
13.9196,1.00287e-05
13.1343,1.12566e-05
11.5929,1.44254e-05
13.0807,1.13485e-05
13.7538,1.02706e-05
13.1098,1.12984e-05
10.7983,1.66078e-05
13.0901,1.13323e-05
14.0059,9.90596e-06
12.2347,1.29613e-05
13.4098,1.08014e-05
16.1751,7.43668e-06
11.2444,1.53264e-05
12.1956,1.3044e-05
11.9667,1.35444e-05
11.9476,1.35873e-05
13.2003,1.11449e-05
11.5117,1.46282e-05
13.0649,1.13757e-05
12.7346,1.19699e-05
12.2614,1.29053e-05
10.608,1.72037e-05
11.6008,1.44057e-05
14.4122,9.35807e-06
12.5926,1.22397e-05
13.3306,1.09293e-05
11.6032,1.43998e-05
11.1169,1.56771e-05
11.1157,1.56804e-05
13.5947,1.0511e-05
11.1685,1.55335e-05
13.0199,1.14541e-05
12.8351,1.17843e-05
13.6156,1.0479e-05
11.9712,1.35344e-05
16.7753,6.9159e-06
12.5391,1.23436e-05
11.7555,1.40319e-05
12.5071,1.24065e-05
11.7459,1.40548e-05
12.2109,1.30117e-05
16.4734,7.17078e-06
18.2301,5.85932e-06
14.6674,9.03667e-06
12.8869,1.16903e-05
10.8073,1.65803e-05
12.9283,1.1616e-05
10.8244,1.65285e-05
12.9562,1.15664e-05
16.2453,7.37279e-06
15.0505,8.58452e-06
10.8521,1.64449e-05
13.3948,5.41271e-06
15.2798,4.16496e-06
14.3243,4.73632e-06
13.1975,5.5748e-06
14.6815,4.5097e-06
15.8013,3.89563e-06
13.1151,5.64468e-06
13.3238,5.47024e-06
14.0842,4.89835e-06
13.2639,5.51942e-06
14.3794,4.70025e-06
14.0507,4.92162e-06
14.3297,4.7328e-06
14.4386,4.66202e-06
13.5312,5.3047e-06
15.3453,4.1296e-06
15.0338,4.30176e-06
13.1957,5.57633e-06
12.9049,5.82897e-06
13.2624,5.52073e-06
14.4828,4.63373e-06
14.1404,4.85969e-06
15.639,3.9766e-06
18.2755,2.91516e-06
13.0032,5.74168e-06
12.9391,5.79835e-06
13.0453,5.70488e-06
13.2788,5.50711e-06
13.3932,5.41397e-06
11.7085,7.07204e-06
13.2699,5.5145e-06
13.0293,5.7188e-06
12.3104,6.40173e-06
12.5203,6.19028e-06
14.0772,4.90322e-06
16.5296,3.56114e-06
13.1637,5.60329e-06
13.5814,5.26578e-06
12.7534,5.96738e-06
12.9747,5.7668e-06
12.5906,6.12174e-06
13.9622,4.9839e-06
12.2038,6.51332e-06
15.0239,4.30741e-06
13.7257,5.15626e-06
14.177,4.83479e-06
14.5193,4.61054e-06
18.3973,2.87681e-06
12.9995,5.74492e-06
13.7675,5.12515e-06
12.9562,5.78313e-06
13.3986,5.40968e-06
14.2387,4.79315e-06
18.667,2.79451e-06
20.2806,2.36856e-06
16.8032,3.44653e-06
14.7487,4.46892e-06
13.1701,5.59793e-06
15.307,4.15019e-06
12.7239,5.99497e-06
14.8422,4.41305e-06
18.324,2.8998e-06
15.2158,4.19988e-06
13.1144,5.6453e-06
15.1313,2.12338e-06
15.6952,1.97414e-06
14.8998,2.18955e-06
15.1015,2.13171e-06
15.4675,2.03244e-06
15.9541,1.91084e-06
14.8198,2.21317e-06
15.7313,1.96513e-06
15.428,2.04281e-06
15.3801,2.0555e-06
15.8941,1.92523e-06
15.529,2.01644e-06
16.7441,1.73539e-06
15.4258,2.04339e-06
15.2096,2.10167e-06
15.7275,1.96607e-06
16.1291,1.86975e-06
15.1333,2.12281e-06
13.9222,2.50623e-06
14.2513,2.39236e-06
15.7914,1.95026e-06
14.6863,2.2534e-06
16.658,1.75333e-06
20.4378,1.16617e-06
13.5158,2.65837e-06
14.425,2.33538e-06
15.0937,2.13391e-06
15.4167,2.04581e-06
13.8057,2.54846e-06
14.1437,2.42873e-06
14.2055,2.40774e-06
15.1381,2.12148e-06
13.2822,2.75215e-06
13.156,2.80492e-06
14.3078,2.3736e-06
18.7782,1.3808e-06
15.7953,1.94929e-06
15.3714,2.05782e-06
13.4392,2.68861e-06
13.6188,2.61854e-06
14.3064,2.37405e-06
15.123,2.12568e-06
13.8613,2.52818e-06
16.4853,1.79013e-06
16.0378,1.89102e-06
14.8756,2.19666e-06
15.0253,2.1533e-06
18.8927,1.36417e-06
15.8144,1.94462e-06
14.4664,2.32209e-06
15.6431,1.98726e-06
14.5311,2.30154e-06
14.2468,2.39387e-06
20.9084,1.11439e-06
22.3344,9.76901e-07
17.1822,1.64833e-06
17.0053,1.68269e-06
13.6178,2.61889e-06
16.5056,1.78573e-06
14.2828,2.38189e-06
17.0932,1.66549e-06
20.4595,1.16371e-06
16.8498,1.71376e-06
13.9395,2.50005e-06
17.4285,8.01115e-07
17.657,7.80573e-07
17.1626,8.26043e-07
16.0092,9.48879e-07
17.5162,7.93134e-07
16.1274,9.35067e-07
16.6607,8.76379e-07
16.375,9.07111e-07
17.49,7.95502e-07
18.148,7.39034e-07
17.3504,8.08316e-07
17.8786,7.61409e-07
17.2484,8.17876e-07
17.4932,7.95217e-07
16.0108,9.48689e-07
17.234,8.19237e-07
18.5073,7.10702e-07
15.6708,9.90127e-07
15.8075,9.73151e-07
15.7789,9.76665e-07
16.8187,8.60048e-07
16.9304,8.48777e-07
17.8797,7.6131e-07
22.6436,4.75229e-07
15.3132,1.03672e-06
15.4405,1.01976e-06
15.7929,9.74947e-07
16.1867,9.28259e-07
15.4998,1.01201e-06
14.6083,1.1387e-06
15.7968,9.74462e-07
16.3495,9.09932e-07
15.3282,1.03469e-06
14.3648,1.17745e-06
16.7996,8.61995e-07
18.8105,6.88041e-07
16.1522,9.32208e-07
17.247,8.18006e-07
16.0407,9.45163e-07
14.2554,1.1955e-06
14.3844,1.17425e-06
15.8082,9.73059e-07
15.6788,9.8912e-07
17.2439,8.183e-07
16.7033,8.71932e-07
17.2614,8.1664e-07
15.4425,1.0195e-06
18.9832,6.75612e-07
16.0175,9.47901e-07
16.3549,9.09336e-07
15.8225,9.71305e-07
15.9975,9.50255e-07
16.6084,8.81882e-07
21.0497,5.49757e-07
24.3912,4.09679e-07
18.6927,6.96716e-07
19.5525,6.36942e-07
15.9701,9.53506e-07
17.4391,8.00139e-07
15.6883,9.87926e-07
17.7244,7.74668e-07
22.6379,4.75467e-07
18.7541,6.92172e-07
14.4159,1.16915e-06
18.8341,3.43162e-07
18.7488,3.46282e-07
17.4607,3.99082e-07
16.2286,4.61743e-07
20.1352,3.00351e-07
17.588,3.93346e-07
17.603,3.9268e-07
18.1171,3.70778e-07
19.1108,3.33324e-07
18.3143,3.62857e-07
18.6173,3.51176e-07
18.7151,3.47527e-07
19.5836,3.17464e-07
20.148,2.9997e-07
