ray_id,x,y,z
52,0.913663,0.999,-0.966135
53,0.869938,0.999,0.48862
54,0.999,-0.304101,-0.496039
55,-0.360149,-0.999,-0.99863
56,0.663712,0.213138,0.999
57,-0.999,-0.761794,-0.00556594
58,-0.0944656,0.999,-0.577365
59,0.999,-0.543167,-0.315032
60,0.999,-0.0951574,-0.520091
61,-0.999,-0.719261,-0.194202
62,0.487471,0.999,0.516586
63,0.999,-0.504816,0.790479
0,-0.306756,0.999,-0.761031
1,-0.999,0.443764,-0.107123
2,-0.359662,-0.900412,0.999
3,-0.415048,-0.367388,-0.999
4,0.204785,-0.579164,0.999
5,0.999,0.139231,-0.413516
6,-0.184422,-0.282497,-0.999
7,-0.999,-0.725058,-0.262636
8,-0.111224,0.999,0.71139
9,0.210728,-0.999,-0.723482
10,-0.675674,0.999,-0.796562
11,0.79757,0.0983027,0.999
12,0.624785,0.999,0.435611
13,0.999,0.98751,-0.845447
14,-0.999,-0.379251,0.0553522
15,-0.999,-0.329588,0.308775
16,-0.0981786,0.999,-0.573732
17,0.999,-0.617502,-0.571435
18,0.032484,-0.999,-0.643888
19,-0.829528,0.271597,0.999
20,0.413697,0.999,0.548609
21,-0.999,0.735347,0.0911308
22,0.155181,-0.999,0.44737
23,0.999,0.817982,0.95049
24,-0.999,0.892341,0.552978
25,0.999,0.809903,0.877229
26,0.0361803,0.999,-0.450353
27,-0.729791,-0.999,-0.720455
28,0.879061,-0.999,0.0906043
29,0.723715,0.999,-0.756234
30,0.999,0.227818,0.986547
31,-0.999,0.722329,0.448792
32,-0.90371,-0.384509,0.999
33,0.0821886,0.030139,-0.999
34,-0.47805,0.999,-0.218823
35,-0.703092,-0.29152,0.999
36,-0.740725,-0.999,-0.247074
37,-0.465703,0.999,-0.152139
38,0.869418,0.155395,0.999
39,0.810036,0.999,0.512165
40,-0.771676,-0.999,-0.0987149
41,0.999,-0.963402,-0.821177
42,0.948335,-0.0101513,0.999
43,-0.999,0.546921,0.541765
44,-0.240187,0.999,-0.721527
45,-0.999,-0.699769,-0.0888935
46,0.813067,-0.247277,-0.999
47,-0.633042,0.999,0.48414
48,-0.111429,0.806505,-0.999
49,-0.0867645,0.999,-0.0592228
50,-0.483074,0.910181,-0.999
51,0.999,0.625538,0.960836
