delay,gain
112.422,2.213e-07
28.6844,1.9721e-05
34.446,8.40826e-06
100.856,6.02245e-07
29.6587,1.90732e-05
66.4376,2.79004e-06
86.981,1.36389e-06
133.534,7.10728e-07
150.111,5.05793e-07
166.748,3.64262e-07
174.045,2.79192e-07
194.455,1.59928e-07
47.8219,-1.1829e-05
48.8121,-9.27123e-06
52.4294,-6.90527e-06
61.7781,-4.68824e-06
95.9035,-2.41602e-06
109.749,-1.08095e-06
112.951,-6.72195e-07
143.334,-4.23766e-07
145.525,-3.33909e-07
158.114,-2.45859e-07
158.115,-1.96686e-07
165.589,-1.50246e-07
49.2518,1.14856e-05
66.2256,6.83343e-06
76.8743,4.70949e-06
85.7239,3.37865e-06
93.9968,2.46503e-06
94.217,1.96741e-06
97.8935,1.51482e-06
102.014,1.1629e-06
122.712,4.9498e-07
124.76,3.89484e-07
161.521,1.92537e-07
16.7375,3.37975e-05
47.714,9.48461e-06
52.7212,6.86704e-06
58.4569,4.95461e-06
99.2102,2.33549e-06
99.811,1.85715e-06
135.14,5.61825e-07
151.717,3.2028e-07
46.8211,1.20818e-05
47.0683,9.61472e-06
50.3327,7.19291e-06
74.7862,3.87279e-06
98.9198,2.34235e-06
101.125,1.83302e-06
107.513,1.37928e-06
112.313,8.45013e-07
121.933,6.22679e-07
133.102,4.56342e-07
136.127,3.56961e-07
140.779,2.76132e-07
147.893,2.10279e-07
156.661,1.58809e-07
29.1906,1.9379e-05
51.3198,7.05456e-06
62.7318,4.61698e-06
63.1584,3.66863e-06
68.6376,2.70061e-06
81.1079,1.46266e-06
88.0023,1.07845e-06
95.6013,7.94184e-07
115.686,5.25041e-07
119.981,4.04997e-07
120.885,3.21574e-07
132.881,2.34036e-07
149.474,1.66445e-07
48.7798,-1.15967e-05
73.4329,-3.15533e-06
76.3619,-2.42744e-06
80.5503,-1.84098e-06
91.0452,-1.30301e-06
91.8766,-1.03298e-06
110.834,-6.85035e-07
111.791,-5.43336e-07
130.368,-3.72729e-07
44.8626,-1.26093e-05
47.9545,-9.43704e-06
58.8831,-6.14844e-06
80.5428,-2.87679e-06
94.2934,-1.96582e-06
97.2897,-1.52422e-06
98.5041,-1.20434e-06
131.273,-7.22966e-07
135.14,-5.61827e-07
144.272,-4.21012e-07
144.66,-3.35905e-07
150.142,-2.58912e-07
46.6976,1.21138e-05
54.4308,8.31419e-06
64.3853,5.623e-06
79.5477,3.64097e-06
84.3851,2.7458e-06
164.242,4.62274e-07
164.293,3.69706e-07
181.55,2.67652e-07
197.364,1.96964e-07
200.673,1.54973e-07
202.209,1.23036e-07
13.4311,4.21177e-05
18.9383,2.38959e-05
25.0941,1.44272e-05
35.0625,8.26043e-06
37.9587,6.10413e-06
39.5006,4.69268e-06
42.9487,3.45275e-06
51.8631,2.28742e-06
68.4203,1.38711e-06
88.9105,8.53949e-07
105.549,3.68298e-07
110.723,2.80871e-07
112.735,2.20686e-07
46.3458,-1.22058e-05
49.4808,-7.31675e-06
53.6226,-5.40128e-06
58.6201,-3.95265e-06
100.323,-1.84768e-06
110.267,-1.34484e-06
149.257,-7.94825e-07
156.882,-4.83961e-07
158.12,-3.84138e-07
167.664,-2.31855e-07
181.07,-1.71751e-07
195.753,-1.27094e-07
46.4399,1.2181e-05
47.4027,9.54689e-06
54.9291,6.59102e-06
65.7062,4.40797e-06
80.7746,2.29483e-06
89.8106,1.65115e-06
90.4415,1.31171e-06
122.744,4.9485e-07
136.289,3.56536e-07
152.652,2.54656e-07
156.128,1.99189e-07
46.692,-1.21153e-05
69.1676,-5.23423e-06
75.341,-3.84427e-06
77.3868,-2.99411e-06
79.1682,-2.34139e-06
127.731,-4.75531e-07
128.868,-3.77068e-07
140.536,-2.7661e-07
154.412,-2.01402e-07
162.642,-1.52969e-07
48.0945,1.1762e-05
50.1695,9.02038e-06
99.3063,1.19462e-06
106.708,8.89401e-07
114.183,6.6494e-07
120.285,5.04969e-07
130.835,2.9712e-07
148.342,2.09644e-07
37.664,1.50193e-05
46.6722,9.69632e-06
52.4386,6.90405e-06
93.776,3.08854e-06
103.202,2.24516e-06
107.845,1.71879e-06
112.227,1.32135e-06
125.507,9.45226e-07
128.587,7.38072e-07
132.493,5.73051e-07
139.315,4.35989e-07
158.249,3.0706e-07
159.285,2.44051e-07
165.292,1.88145e-07
168.233,1.47884e-07
33.2408,1.70178e-05
58.3727,4.96175e-06
71.4567,3.24259e-06
73.9752,2.50576e-06
82.2507,1.80291e-06
87.73,1.35225e-06
100.644,9.42988e-07
103.131,7.36199e-07
107.189,5.66663e-07
139.411,3.48552e-07
150.484,2.58324e-07
47.7245,-1.18531e-05
59.9459,-7.54927e-06
86.0761,-4.20603e-06
87.0658,-3.32658e-06
102.166,-2.26793e-06
121.578,-1.52464e-06
143.82,-1.03109e-06
170.438,-6.96047e-07
170.914,-5.55287e-07
171.805,-4.41925e-07
182.764,-3.32341e-07
191.367,-2.5392e-07
200.065,-1.94305e-07
208.773,-1.4896e-07
46.1089,1.22685e-05
49.6903,9.10737e-06
92.9709,3.89411e-06
100.786,2.87371e-06
140.902,1.64444e-06
152.107,1.21864e-06
189.705,7.81694e-07
190.33,6.23302e-07
198.808,4.77376e-07
233.504,3.25155e-07
239.839,2.53253e-07
277.851,1.74885e-07
